rank,finalWorth,personName,age,industries,countryOfCitizenship,selfMade,gender,birthYear,gdp_country,life_expectancy_country,total_tax_rate_country,population_country,latitude_country,longitude_country
1,211000,Bernard Arnault & family,74.0,Fashion & Retail,France,False,M,1949.0,"$2,715,518,274,227 ",82.5,60.7,67059887.0,46.227638,2.213749
2,180000,Elon Musk,51.0,Automotive,United States,True,M,1971.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
3,114000,Jeff Bezos,59.0,Technology,United States,True,M,1964.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
4,107000,Larry Ellison,78.0,Technology,United States,True,M,1944.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
5,106000,Warren Buffett,92.0,Finance & Investments,United States,True,M,1930.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
6,104000,Bill Gates,67.0,Technology,United States,True,M,1955.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
7,94500,Michael Bloomberg,81.0,Media & Entertainment,United States,True,M,1942.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
8,93000,Carlos Slim Helu & family,83.0,Telecom,Mexico,True,M,1940.0,"$1,258,286,717,125 ",75.0,55.1,126014024.0,23.634501,-102.552784
9,83400,Mukesh Ambani,65.0,Diversified,India,False,M,1957.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
10,80700,Steve Ballmer,67.0,Technology,United States,True,M,1956.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
11,80500,Francoise Bettencourt Meyers & family,69.0,Fashion & Retail,France,False,F,1953.0,"$2,715,518,274,227 ",82.5,60.7,67059887.0,46.227638,2.213749
12,79200,Larry Page,50.0,Technology,United States,True,M,1973.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
13,77300,Amancio Ortega,87.0,Fashion & Retail,Spain,True,M,1936.0,"$1,394,116,310,769 ",83.3,47.0,47076781.0,40.463667,-3.74922
14,76000,Sergey Brin,49.0,Technology,United States,True,M,1973.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
15,68000,Zhong Shanshan,68.0,Food & Beverage,China,True,M,1954.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
16,64400,Mark Zuckerberg,38.0,Technology,United States,True,M,1984.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
17,59000,Charles Koch & family,87.0,Diversified,United States,False,M,1935.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
17,59000,Julia Koch & family,60.0,Diversified,United States,False,F,1962.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
19,58800,Jim Walton,74.0,Fashion & Retail,United States,False,M,1948.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
20,57600,Rob Walton & family,78.0,Fashion & Retail,United States,False,M,1944.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
21,56700,Alice Walton,73.0,Fashion & Retail,United States,False,F,1949.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
22,54400,David Thomson & family,65.0,Media & Entertainment,Canada,False,M,1957.0,"$1,736,425,629,520 ",81.9,24.5,36991981.0,56.130366,-106.346771
23,50100,Michael Dell,58.0,Technology,United States,True,M,1965.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
24,47200,Gautam Adani,60.0,Diversified,India,True,M,1962.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
25,45100,Phil Knight & family,85.0,Fashion & Retail,United States,True,M,1938.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
